timestamp,accX,accY,accZ,C5,C6,C7,C8,C9,C10
2025-07-03T12:36:25.162516,0.181,0.013,0.977,-0.244,-0.61,0.244,-27.0,1.0,50.0
2025-07-03T12:36:27.289197,0.202,0.001,0.979,-0.244,0.488,-0.061,-22.0,0.0,51.0
2025-07-03T12:36:29.566007,0.203,0.002,0.981,-0.244,0.122,-0.061,-27.0,4.0,50.0
2025-07-03T12:36:31.363085,0.207,0.002,0.985,0.0,0.366,0.0,-27.0,1.0,47.0
2025-07-03T12:36:33.703142,0.204,0.001,0.979,-0.183,-0.122,-0.061,-24.0,0.0,51.0
2025-07-03T12:36:35.738029,0.202,0.002,0.978,-0.244,0.061,-0.061,-23.0,0.0,50.0
2025-07-03T12:36:38.140104,0.075,0.017,0.998,-0.244,-0.061,0.061,-25.0,5.0,49.0
2025-07-03T12:36:39.888345,0.186,-0.2,0.523,-247.803,4.272,-16.357,-74.0,-2.0,41.0
2025-07-03T12:36:42.116670,-0.128,-0.073,0.279,1703.186,231.628,19.531,-55.0,15.0,55.0
2025-07-03T12:36:43.724205,0.043,-0.089,0.928,-17.944,-2.747,18.555,-27.0,15.0,57.0
2025-07-03T12:36:45.889567,0.707,0.276,0.62,4.578,6.775,25.818,-21.0,14.0,58.0
2025-07-03T12:36:47.869344,0.48,0.604,0.457,-5.066,1.953,-0.366,-23.0,2.0,53.0
2025-07-03T12:36:49.730392,0.671,0.713,0.334,3.784,-29.48,19.836,-18.0,3.0,55.0
2025-07-03T12:36:51.408269,0.49,0.79,0.364,-14.954,-12.756,-27.527,-15.0,8.0,54.0
2025-07-03T12:36:53.563286,0.404,0.471,0.723,27.161,-3.601,1.526,-22.0,17.0,59.0
2025-07-03T12:36:55.545660,0.412,0.418,0.824,-10.254,75.562,-23.01,-32.0,-20.0,39.0
2025-07-03T12:36:57.276079,0.971,0.286,0.109,0.549,15.991,-5.188,-34.0,-23.0,40.0
2025-07-03T12:36:58.846318,0.969,0.381,0.032,-3.052,-29.419,7.874,-16.0,-2.0,46.0
2025-07-03T12:37:00.885193,0.721,0.6,0.294,9.949,-344.543,128.723,-27.0,14.0,50.0
2025-07-03T12:37:02.440110,0.355,-0.852,0.378,0.122,-0.122,-0.244,-71.0,15.0,54.0
2025-07-03T12:37:04.483644,0.351,-0.805,0.375,56.641,1.099,40.649,-79.0,6.0,41.0
2025-07-03T12:37:06.046965,0.853,0.187,0.545,-7.141,-11.108,4.456,-37.0,-7.0,56.0
2025-07-03T12:37:08.748227,0.565,0.616,0.569,1.587,-1.038,-3.54,-29.0,-3.0,57.0
2025-07-03T12:37:11.018404,0.572,0.465,0.82,-20.081,11.292,-19.409,-35.0,-10.0,52.0
2025-07-03T12:37:12.579516,0.723,0.465,0.61,0.0,2.747,-18.127,-37.0,-7.0,51.0
2025-07-03T12:37:14.690669,0.702,0.642,0.397,-2.93,7.385,6.409,-26.0,-12.0,51.0
2025-07-03T12:37:16.542771,0.701,0.649,0.246,-5.127,-4.944,-3.113,-23.0,-13.0,46.0
2025-07-03T12:37:18.938015,0.725,0.657,0.173,-3.235,0.305,-3.113,-24.0,-13.0,44.0
2025-07-03T12:37:20.508849,0.82,0.566,0.114,-0.977,-5.981,-80.2,-19.0,27.0,56.0
2025-07-03T12:37:22.724513,-0.015,-0.155,0.985,-1.16,0.305,-0.122,-37.0,29.0,52.0
2025-07-03T12:37:24.586499,-0.014,-0.135,0.99,-0.305,0.305,0.0,-35.0,32.0,58.0
2025-07-03T12:37:27.226373,-0.016,-0.102,0.994,-80.933,-1.282,40.833,-37.0,5.0,54.0
2025-07-03T12:37:30.035783,45.65,345.44,23.47,-8.423,3.418,36.316,-19.0,11.0,56.0
2025-07-03T12:37:31.595987,32,11,45,13.306,-19.592,-44.678,-22.0,1.0,57.0
2025-07-03T12:37:33.459976,0.641,0.435,0.636,1.526,-0.488,4.639,-22.0,0.0,49.0
2025-07-03T12:37:35.453059,0.684,0.596,0.239,-24.841,-23.987,15.747,-15.0,-3.0,44.0
2025-07-03T12:37:37.490973,0.684,0.624,0.479,8.362,-3.784,0.122,-16.0,5.0,49.0
2025-07-03T12:37:39.279579,0.599,0.648,0.003,-19.165,4.822,-3.113,-19.0,-15.0,35.0
2025-07-03T12:37:41.925279,0.776,0.437,-0.634,-37.048,-3.906,26.55,-6.0,-9.0,6.0
2025-07-03T12:37:43.482348,-0.073,-0.162,0.988,-0.854,1.892,-0.671,-27.0,9.0,59.0
2025-07-03T12:37:45.762102,0.077,-0.068,0.991,0.183,0.122,0.244,-27.0,6.0,54.0
