timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
2025-06-13T13:45:09.650768,-0.078,-0.219,0.969,3.296,4.333,-0.671,21.0,-23.0,40.0
2025-06-13T13:45:11.255177,-0.131,-0.296,0.936,-2.136,-31.311,39.795,20.0,-8.0,37.0
2025-06-13T13:45:12.782402,-0.103,0.335,1.017,57.8,27.527,-26.306,17.0,-23.0,38.0
2025-06-13T13:45:14.312473,0.93,-0.5,0.992,-33.02,-31.189,-101.013,26.0,-29.0,36.0
2025-06-13T13:45:16.097102,0.261,0.218,1.165,-180.298,237.488,-19.348,67.0,72.0,68.0
2025-06-13T13:45:17.759726,-0.022,-0.343,0.941,-5.31,-0.488,0.488,12.0,42.0,71.0
2025-06-13T13:45:19.292823,-0.033,-0.267,0.961,-2.502,-0.122,-0.122,13.0,44.0,69.0
2025-06-13T13:45:20.879790,-0.037,-0.217,0.973,-1.709,0.061,-0.061,15.0,41.0,75.0
2025-06-13T13:45:22.398407,-0.038,-0.185,0.979,-1.343,0.122,0.122,17.0,44.0,71.0
2025-06-13T13:45:23.938790,-0.045,-0.156,0.985,-1.16,0.061,0.0,19.0,43.0,69.0
2025-06-13T13:45:25.600951,-0.045,-0.134,0.988,-1.221,0.122,-0.061,24.0,44.0,74.0
2025-06-13T13:45:27.133898,-0.047,-0.116,0.99,-0.671,0.0,-0.061,23.0,45.0,78.0
2025-06-13T13:45:28.753591,-0.048,-0.102,0.992,-0.732,0.061,-0.183,22.0,44.0,71.0
